"primary_type","crime10","crime15","crime20"
"ARSON",522,453,588
"ASSAULT",21537,17048,18257
"BATTERY",65401,48924,41513
"BURGLARY",26422,13184,8758
"CRIM SEXUAL ASSAULT",1329,1348,75
"CRIMINAL DAMAGE",40654,28677,24877
"CRIMINAL SEXUAL ASSAULT",63,103,1169
"CRIMINAL TRESPASS",9401,6401,4177
"DECEPTIVE PRACTICE",12585,16460,18445
"GAMBLING",927,310,25
"HOMICIDE",438,502,796
"HUMAN TRAFFICKING",1,13,5
"INTERFERENCE WITH PUBLIC OFFICER",797,1308,654
"INTIMIDATION",198,123,163
"KIDNAPPING",314,190,120
"LIQUOR LAW VIOLATION",737,292,143
"MOTOR VEHICLE THEFT",19029,10068,9959
"NARCOTICS",43398,23939,7493
"NON-CRIMINAL",1,16,1
"OBSCENITY",34,49,58
"OFFENSE INVOLVING CHILDREN",2635,2490,2019
"OTHER NARCOTIC VIOLATION",6,5,6
"OTHER OFFENSE",22012,17566,12599
"PROSTITUTION",2484,1322,277
"PUBLIC INDECENCY",7,14,9
"PUBLIC PEACE VIOLATION",3538,2422,1271
"ROBBERY",14275,9638,7855
"SEX OFFENSE",1140,1052,972
"STALKING",189,155,203
"THEFT",76758,57350,41332
"WEAPONS VIOLATION",3704,3364,8432
"CONCEALED CARRY LICENSE VIOLATION",NA,34,148
"NON - CRIMINAL",NA,20,NA
"RITUALISM",NA,NA,1
