the_geom,SCHOOL_NM,UNIT_ID,SCHOOL_ID,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
POINT (-87.57485390637619 41.74836601270813),MANN,4610,610052,8050 S CHAPPEL AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5748539059,41.7483660139
POINT (-87.57284397100574 41.768650176181154),OKEEFFE,5180,610103,6940 S MERRILL AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5728439707,41.768650177
POINT (-87.58299203109485 41.76859428218552),PARKSIDE,5300,610116,6938 S EAST END AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5829920307,41.768594283
POINT (-87.6080000855842 41.74036573285365),PIRIE,5440,610130,650 E 85TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6",Elementary School,-87.6080000853,41.740365734
POINT (-87.6001576465057 41.76422347385292),REVERE,5610,610146,1010 E 72ND ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6001576463,41.764223475
POINT (-87.63887832268337 41.73533968257993),RYDER,5670,610153,8716 S WALLACE ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6388783229,41.7353396836
POINT (-87.55282162517852 41.73159655105495),MIRELES,5880,610171,9000 S EXCHANGE AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5528216248,41.7315965518
POINT (-87.5428910602378 41.743833342520496),SULLIVAN,6100,610193,8331 S MACKINAW AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5428910602,41.7438333435
POINT (-87.57531686494731 41.72680278767913),WARREN,6350,610218,9239 S JEFFERY AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5753168646,41.7268027887
POINT (-87.6011336070477 41.74007432542545),ASHE,6900,610268,8505 S INGLESIDE AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6011336069,41.7400743261
POINT (-87.66366659343228 41.90287838675934),PROLOGUE EARLY COLLEGE,1135,400070,1135 N CLEAVER RD,HS,"9, 10, 11, 12",Contract,-87.6636665933,41.9028783879
POINT (-87.66002579657386 41.91830741628706),JEFFERSON CENTER FACTOR,2123,610371,2032 N. CLYBOURN AV,HS,"9, 10, 11",Alternative School,-87.6600257963,41.918307417
POINT (-87.68663350966838 41.88307896161766),JEFFERSON CENTER FACTOR,2123,610371,2032 N. CLYBOURN AV,HS,"9, 10, 11",Alternative School,-87.6866335095,41.8830789626
POINT (-87.70802450720313 41.8584605326629),NORTH LAWNDALE CHRTR - CHRISTIANA HS,1105,400058,1616 S SPAULDING AV,HS,"9, 10, 11, 12",Charter,-87.7080245074,41.8584605337
POINT (-87.64805007426077 41.85485632929858),WALSH,6320,610216,2015 S PEORIA ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6480500744,41.8548563301
POINT (-87.67349331700422 41.850506698844306),WHITTIER,6450,610228,1900 W 23RD ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7",Elementary School,-87.673493317,41.8505066999
POINT (-87.72158610162707 41.86355093594061),HENSON,6570,610240,1326 S AVERS AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7215861014,41.8635509367
POINT (-87.73051772128562 41.87474954066647),MELODY,7190,610293,412 S KEELER AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7305177211,41.8747495418
